Unnamed: 0,formula_id,category,token_range,token_count,latex_formula,url,modality,transcription_text,ssml_text,survey_id,item_order,formula_row,respondent_id,annotation,formula_match,difficult_parts,pauses_helpful,emphasis_helpful,speech_rate_helpful,explanatory_info_helpful,timestamp,sounded clear,pronounced the words correctly,sounded natural,was comfortable to listen to throughout the survey,sounded like a real teacher,Gender,Age Group,Nationality,Highest Educational Degree,Which area best describes your field of study?,Mathematical Background,English Proficiency,Device Used to Complete the Survey,Audio Equipment used,audio_duration_sec
41,"https://en.wikipedia.org/wiki/Brewster%27s_angle|{\displaystyle \theta _{\mathrm {B} }=\arctan \!\left({\frac {n_{2}}{n_{1}}}\right)\!,}",Physics,11-20,15,"{\displaystyle \theta _{\mathrm {B} }=\arctan \!\left({\frac {n_{2}}{n_{1}}}\right)\!,}",https://en.wikipedia.org/wiki/Brewster%27s_angle,extended,"Brewster’s angle, theta subscript capital B, equals the arctangent of, open parenthesis, n subscript two over n subscript one, close parenthesis, where n subscript one is the refractive index of the initial incident medium and n subscript two is the refractive index of the other medium.","<prosody rate=""medium"">Brewster’s angle, <break time=""200ms""/> theta subscript capital B, <break time=""200ms""/> equals <break time=""150ms""/> the <emphasis>arctangent</emphasis> of, <break time=""150ms""/> open parenthesis, <break time=""150ms""/> <prosody rate=""slow"">n subscript two over n subscript one,</prosody> <break time=""150ms""/> close parenthesis, <break time=""250ms""/> where n subscript one is the refractive index of the initial incident medium and n subscript two is the refractive index of the other medium.</prosody>",1,3,18,study1_r2,18B,4,"Brackets and grouping (e.g. ""(..)"" or ""{..}"")",3,3,3,2.0,2026/06/26 5:07:04 PM OESZ,5,5,5,5,3,Female,55-64,Germany,Master's Degree (or comparable university degree),Social Sciences;Humanities and Languages,"Secondary school mathematics (functions, logarithms, trigonometry)",Intermediate (B1-B2),Tablet,"Built-in speakers (in smartphone, notebook, tablet, etc.)",19.226
41,"https://en.wikipedia.org/wiki/Brewster%27s_angle|{\displaystyle \theta _{\mathrm {B} }=\arctan \!\left({\frac {n_{2}}{n_{1}}}\right)\!,}",Physics,11-20,15,"{\displaystyle \theta _{\mathrm {B} }=\arctan \!\left({\frac {n_{2}}{n_{1}}}\right)\!,}",https://en.wikipedia.org/wiki/Brewster%27s_angle,extended,"Brewster’s angle, theta subscript capital B, equals the arctangent of, open parenthesis, n subscript two over n subscript one, close parenthesis, where n subscript one is the refractive index of the initial incident medium and n subscript two is the refractive index of the other medium.","<prosody rate=""medium"">Brewster’s angle, <break time=""200ms""/> theta subscript capital B, <break time=""200ms""/> equals <break time=""150ms""/> the <emphasis>arctangent</emphasis> of, <break time=""150ms""/> open parenthesis, <break time=""150ms""/> <prosody rate=""slow"">n subscript two over n subscript one,</prosody> <break time=""150ms""/> close parenthesis, <break time=""250ms""/> where n subscript one is the refractive index of the initial incident medium and n subscript two is the refractive index of the other medium.</prosody>",1,3,18,study1_r3,18B,2,"Brackets and grouping (e.g. ""(..)"" or ""{..}"")",3,3,3,3.0,2026/06/30 6:35:48 PM OESZ,4,4,4,4,4,Female,55-64,Germany,Bachelor's Degree (or comparable university degree),Economics,"Undergraduate-level mathematics (calculus, matrices, vectors, statistics)",Advanced (C1),Smartphone,"Built-in speakers (in smartphone, notebook, tablet, etc.)",19.226
41,"https://en.wikipedia.org/wiki/Brewster%27s_angle|{\displaystyle \theta _{\mathrm {B} }=\arctan \!\left({\frac {n_{2}}{n_{1}}}\right)\!,}",Physics,11-20,15,"{\displaystyle \theta _{\mathrm {B} }=\arctan \!\left({\frac {n_{2}}{n_{1}}}\right)\!,}",https://en.wikipedia.org/wiki/Brewster%27s_angle,extended,"Brewster’s angle, theta subscript capital B, equals the arctangent of, open parenthesis, n subscript two over n subscript one, close parenthesis, where n subscript one is the refractive index of the initial incident medium and n subscript two is the refractive index of the other medium.","<prosody rate=""medium"">Brewster’s angle, <break time=""200ms""/> theta subscript capital B, <break time=""200ms""/> equals <break time=""150ms""/> the <emphasis>arctangent</emphasis> of, <break time=""150ms""/> open parenthesis, <break time=""150ms""/> <prosody rate=""slow"">n subscript two over n subscript one,</prosody> <break time=""150ms""/> close parenthesis, <break time=""250ms""/> where n subscript one is the refractive index of the initial incident medium and n subscript two is the refractive index of the other medium.</prosody>",1,3,18,study1_r4,18B,2,Greek letters;Capitalization,2,2,2,2.0,2026/07/03 12:16:41 PM OESZ,2,2,2,4,2,Female,45-54,Germany,Doctorate / PhD (or comparable university degree),Mathematics;Statistics;Economics;Computer Science;Health Sciences,"Advanced university mathematics (proofs, abstract algebra, advanced calculus, etc.)",Advanced (C1),Desktop computer,"Built-in speakers (in smartphone, notebook, tablet, etc.)",19.226
41,"https://en.wikipedia.org/wiki/Brewster%27s_angle|{\displaystyle \theta _{\mathrm {B} }=\arctan \!\left({\frac {n_{2}}{n_{1}}}\right)\!,}",Physics,11-20,15,"{\displaystyle \theta _{\mathrm {B} }=\arctan \!\left({\frac {n_{2}}{n_{1}}}\right)\!,}",https://en.wikipedia.org/wiki/Brewster%27s_angle,extended,"Brewster’s angle, theta subscript capital B, equals the arctangent of, open parenthesis, n subscript two over n subscript one, close parenthesis, where n subscript one is the refractive index of the initial incident medium and n subscript two is the refractive index of the other medium.","<prosody rate=""medium"">Brewster’s angle, <break time=""200ms""/> theta subscript capital B, <break time=""200ms""/> equals <break time=""150ms""/> the <emphasis>arctangent</emphasis> of, <break time=""150ms""/> open parenthesis, <break time=""150ms""/> <prosody rate=""slow"">n subscript two over n subscript one,</prosody> <break time=""150ms""/> close parenthesis, <break time=""250ms""/> where n subscript one is the refractive index of the initial incident medium and n subscript two is the refractive index of the other medium.</prosody>",1,3,18,study1_r5,18B,3,"Brackets and grouping (e.g. ""(..)"" or ""{..}"");Fractions and divisions structures",3,4,3,4.0,2026/07/14 1:14:47 AM OESZ,4,4,4,3,3,Male,35-44,Germany,Master's Degree (or comparable university degree),Mathematics;Statistics,"Advanced university mathematics (proofs, abstract algebra, advanced calculus, etc.)",Advanced (C1),Smartphone,Earbuds,19.226
22,"http://en.wikipedia.org/wiki/Frisch-Waugh-Lovell_theorem|M_{X_1} Y = M_{X_1} X_2 \beta_2 + M_{X_1} u \!,",Statistics,21-30,26,"M_{X_1} Y = M_{X_1} X_2 \beta_2 + M_{X_1} u \!,",http://en.wikipedia.org/wiki/Frisch-Waugh-Lovell_theorem,standard,"Capital M subscript, capital X subscript one, times capital Y, equals capital M subscript, capital X subscript one, times capital X subscript two, times beta subscript two, plus capital M subscript, capital X subscript one, times u.","<prosody rate=""slow"">Capital M subscript, capital X subscript one, times capital Y, <break time=""250ms""/><emphasis>equals</emphasis><break time=""250ms""/> capital M subscript, capital X subscript one, times capital X subscript two, times beta subscript two, <break time=""250ms""/><emphasis>plus</emphasis><break time=""250ms""/> capital M subscript, capital X subscript one, times u.</prosody>",1,4,23,study1_r1,23A,5,Subscripts and indices,4,2,4,,2026/06/17 12:33:08 PM OESZ,5,3,2,2,1,Male,35-44,Germany,Doctorate / PhD (or comparable university degree),Physics;Computer Science,"Advanced university mathematics (proofs, abstract algebra, advanced calculus, etc.)",Advanced (C1),Desktop computer,Earbuds,21.812166666666666
22,"http://en.wikipedia.org/wiki/Frisch-Waugh-Lovell_theorem|M_{X_1} Y = M_{X_1} X_2 \beta_2 + M_{X_1} u \!,",Statistics,21-30,26,"M_{X_1} Y = M_{X_1} X_2 \beta_2 + M_{X_1} u \!,",http://en.wikipedia.org/wiki/Frisch-Waugh-Lovell_theorem,standard,"Capital M subscript, capital X subscript one, times capital Y, equals capital M subscript, capital X subscript one, times capital X subscript two, times beta subscript two, plus capital M subscript, capital X subscript one, times u.","<prosody rate=""slow"">Capital M subscript, capital X subscript one, times capital Y, <break time=""250ms""/><emphasis>equals</emphasis><break time=""250ms""/> capital M subscript, capital X subscript one, times capital X subscript two, times beta subscript two, <break time=""250ms""/><emphasis>plus</emphasis><break time=""250ms""/> capital M subscript, capital X subscript one, times u.</prosody>",1,4,23,study1_r2,23A,3,Subscripts and indices;Capitalization,3,3,3,,2026/06/26 5:07:04 PM OESZ,5,5,5,5,3,Female,55-64,Germany,Master's Degree (or comparable university degree),Social Sciences;Humanities and Languages,"Secondary school mathematics (functions, logarithms, trigonometry)",Intermediate (B1-B2),Tablet,"Built-in speakers (in smartphone, notebook, tablet, etc.)",21.812166666666666
22,"http://en.wikipedia.org/wiki/Frisch-Waugh-Lovell_theorem|M_{X_1} Y = M_{X_1} X_2 \beta_2 + M_{X_1} u \!,",Statistics,21-30,26,"M_{X_1} Y = M_{X_1} X_2 \beta_2 + M_{X_1} u \!,",http://en.wikipedia.org/wiki/Frisch-Waugh-Lovell_theorem,standard,"Capital M subscript, capital X subscript one, times capital Y, equals capital M subscript, capital X subscript one, times capital X subscript two, times beta subscript two, plus capital M subscript, capital X subscript one, times u.","<prosody rate=""slow"">Capital M subscript, capital X subscript one, times capital Y, <break time=""250ms""/><emphasis>equals</emphasis><break time=""250ms""/> capital M subscript, capital X subscript one, times capital X subscript two, times beta subscript two, <break time=""250ms""/><emphasis>plus</emphasis><break time=""250ms""/> capital M subscript, capital X subscript one, times u.</prosody>",1,4,23,study1_r3,23A,3,Subscripts and indices,3,3,3,,2026/06/30 6:35:48 PM OESZ,4,4,4,4,4,Female,55-64,Germany,Bachelor's Degree (or comparable university degree),Economics,"Undergraduate-level mathematics (calculus, matrices, vectors, statistics)",Advanced (C1),Smartphone,"Built-in speakers (in smartphone, notebook, tablet, etc.)",21.812166666666666
22,"http://en.wikipedia.org/wiki/Frisch-Waugh-Lovell_theorem|M_{X_1} Y = M_{X_1} X_2 \beta_2 + M_{X_1} u \!,",Statistics,21-30,26,"M_{X_1} Y = M_{X_1} X_2 \beta_2 + M_{X_1} u \!,",http://en.wikipedia.org/wiki/Frisch-Waugh-Lovell_theorem,standard,"Capital M subscript, capital X subscript one, times capital Y, equals capital M subscript, capital X subscript one, times capital X subscript two, times beta subscript two, plus capital M subscript, capital X subscript one, times u.","<prosody rate=""slow"">Capital M subscript, capital X subscript one, times capital Y, <break time=""250ms""/><emphasis>equals</emphasis><break time=""250ms""/> capital M subscript, capital X subscript one, times capital X subscript two, times beta subscript two, <break time=""250ms""/><emphasis>plus</emphasis><break time=""250ms""/> capital M subscript, capital X subscript one, times u.</prosody>",1,4,23,study1_r4,23A,3,Subscripts and indices,3,3,3,,2026/07/03 12:16:41 PM OESZ,2,2,2,4,2,Female,45-54,Germany,Doctorate / PhD (or comparable university degree),Mathematics;Statistics;Economics;Computer Science;Health Sciences,"Advanced university mathematics (proofs, abstract algebra, advanced calculus, etc.)",Advanced (C1),Desktop computer,"Built-in speakers (in smartphone, notebook, tablet, etc.)",21.812166666666666
22,"http://en.wikipedia.org/wiki/Frisch-Waugh-Lovell_theorem|M_{X_1} Y = M_{X_1} X_2 \beta_2 + M_{X_1} u \!,",Statistics,21-30,26,"M_{X_1} Y = M_{X_1} X_2 \beta_2 + M_{X_1} u \!,",http://en.wikipedia.org/wiki/Frisch-Waugh-Lovell_theorem,standard,"Capital M subscript, capital X subscript one, times capital Y, equals capital M subscript, capital X subscript one, times capital X subscript two, times beta subscript two, plus capital M subscript, capital X subscript one, times u.","<prosody rate=""slow"">Capital M subscript, capital X subscript one, times capital Y, <break time=""250ms""/><emphasis>equals</emphasis><break time=""250ms""/> capital M subscript, capital X subscript one, times capital X subscript two, times beta subscript two, <break time=""250ms""/><emphasis>plus</emphasis><break time=""250ms""/> capital M subscript, capital X subscript one, times u.</prosody>",1,4,23,study1_r5,23A,2,Subscripts and indices;Capitalization,2,3,3,,2026/07/14 1:14:47 AM OESZ,4,4,4,3,3,Male,35-44,Germany,Master's Degree (or comparable university degree),Mathematics;Statistics,"Advanced university mathematics (proofs, abstract algebra, advanced calculus, etc.)",Advanced (C1),Smartphone,Earbuds,21.812166666666666
23,http://en.wikipedia.org/wiki/Pivotal_quantity|r = \frac{\frac1{n-1} \sum_{i=1}^n (X_i - \overline{X})(Y_i - \overline{Y})}{s_X s_Y},Statistics,31-40,35,r = \frac{\frac1{n-1} \sum_{i=1}^n (X_i - \overline{X})(Y_i - \overline{Y})}{s_X s_Y},http://en.wikipedia.org/wiki/Pivotal_quantity,standard,"r equals, open parenthesis, one over n minus one, times the sum from i equals one to n, of open parenthesis capital X sub i minus capital X bar close parenthesis, times open parenthesis capital Y sub i minus capital Y bar close parenthesis, close parenthesis, all divided by s sub capital X times s sub capital Y.","<prosody rate=""slow"">r equals,<break time=""250ms""/> open parenthesis,<break time=""200ms""/> <emphasis>one over n minus one</emphasis>,<break time=""200ms""/> times the sum from i equals one to n,<break time=""200ms""/> of open parenthesis capital X sub i minus capital X bar close parenthesis,<break time=""200ms""/> times open parenthesis capital Y sub i minus capital Y bar close parenthesis,<break time=""200ms""/> close parenthesis,<break time=""250ms""/> all divided by<break time=""200ms""/> <emphasis>s sub capital X</emphasis> times <emphasis>s sub capital Y</emphasis>.</prosody>",1,5,24,study1_r1,24A,5,"Brackets and grouping (e.g. ""(..)"" or ""{..}"");Subscripts and indices",4,3,4,,2026/06/17 12:33:08 PM OESZ,5,3,2,2,1,Male,35-44,Germany,Doctorate / PhD (or comparable university degree),Physics;Computer Science,"Advanced university mathematics (proofs, abstract algebra, advanced calculus, etc.)",Advanced (C1),Desktop computer,Earbuds,27.2195
23,http://en.wikipedia.org/wiki/Pivotal_quantity|r = \frac{\frac1{n-1} \sum_{i=1}^n (X_i - \overline{X})(Y_i - \overline{Y})}{s_X s_Y},Statistics,31-40,35,r = \frac{\frac1{n-1} \sum_{i=1}^n (X_i - \overline{X})(Y_i - \overline{Y})}{s_X s_Y},http://en.wikipedia.org/wiki/Pivotal_quantity,standard,"r equals, open parenthesis, one over n minus one, times the sum from i equals one to n, of open parenthesis capital X sub i minus capital X bar close parenthesis, times open parenthesis capital Y sub i minus capital Y bar close parenthesis, close parenthesis, all divided by s sub capital X times s sub capital Y.","<prosody rate=""slow"">r equals,<break time=""250ms""/> open parenthesis,<break time=""200ms""/> <emphasis>one over n minus one</emphasis>,<break time=""200ms""/> times the sum from i equals one to n,<break time=""200ms""/> of open parenthesis capital X sub i minus capital X bar close parenthesis,<break time=""200ms""/> times open parenthesis capital Y sub i minus capital Y bar close parenthesis,<break time=""200ms""/> close parenthesis,<break time=""250ms""/> all divided by<break time=""200ms""/> <emphasis>s sub capital X</emphasis> times <emphasis>s sub capital Y</emphasis>.</prosody>",1,5,24,study1_r2,24A,4,"Brackets and grouping (e.g. ""(..)"" or ""{..}"");Mathematical symbols and operators (e.g. ""+"", ""-"", sum or integral)",3,3,3,,2026/06/26 5:07:04 PM OESZ,5,5,5,5,3,Female,55-64,Germany,Master's Degree (or comparable university degree),Social Sciences;Humanities and Languages,"Secondary school mathematics (functions, logarithms, trigonometry)",Intermediate (B1-B2),Tablet,"Built-in speakers (in smartphone, notebook, tablet, etc.)",27.2195
